S.No,DOI,Publication,Title,Authors,Year,Theme,Key Findings,DOI_Link,Combined_Text,Cluster,Research Question,Similarity Score
16,,Unknown,Valuation Risk Integration into Credit Risk Analytics,Unknown,Unknown,Conceptual,Likely unpublished/internal conceptual work.,,Valuation Risk Integration into Credit Risk Analytics Likely unpublished/internal conceptual work.,0.0,No Match (Below Threshold),0.0
17,10.1016/j.measen.2024.101126,Measurement: Sensors,Influencing factors and spatial differentiation of rental housing,Wen Zhao; Jie Zhong; Jiale Lv,2024,Housing Price Formation,Rental prices shaped by spatial heterogeneity.,,Influencing factors and spatial differentiation of rental housing Rental prices shaped by spatial heterogeneity.,4.0,RQ-1,0.3563418710758398
18,,BCBS,Guidance on credit risk and accounting for expected credit losses,BCBS,2015,Duplicate,Duplicate of Entry 14,,Guidance on credit risk and accounting for expected credit losses Duplicate of Entry 14,0.0,No Match (Below Threshold),0.0
19,,Federal Reserve / OCC,Supervisory Guidance on Model Risk Management,Federal Reserve + OCC,2011,Duplicate,Duplicate of Entry 7,,Supervisory Guidance on Model Risk Management Duplicate of Entry 7,3.0,No Match (Below Threshold),0.0
20,,BIS Working Papers,Towards a macroprudential framework for financial supervision and regulation?,Claudio Borio,2003,Duplicate,Duplicate of Entry 9,,Towards a macroprudential framework for financial supervision and regulation? Duplicate of Entry 9,2.0,No Match (Below Threshold),0.0
21,,Unknown,ssrn-1401750,Unknown,Unknown,Duplicate,Duplicate of Entry 5,,ssrn-1401750 Duplicate of Entry 5,1.0,No Match (Below Threshold),0.0
22,10.1111/joes.12548,Journal of Economic Surveys,Loan-to-value limits as a macroprudential policy tool,William Gatt,2024,Macroprudential Regulation,LTV caps buffer credit and house price growth.,,Loan-to-value limits as a macroprudential policy tool LTV caps buffer credit and house price growth.,4.0,RQ-1,0.3125783906427952
23,,Cengage,Commercial real estate: analysis & investments,David Geltner,2007,Duplicate,Duplicate of Entry 15,,Commercial real estate: analysis & investments Duplicate of Entry 15,1.0,No Match (Below Threshold),0.0
24,,Office of Financial Research,A Survey of Systemic Risk Analytics,Bisias et al.,Unknown,Systemic Risk,Systemic risk requires multidimensional analytics.,,A Survey of Systemic Risk Analytics Systemic risk requires multidimensional analytics.,0.0,No Match (Below Threshold),0.0
25,,World Bank,Disaster Risk Financing and Contingent Credit,Daniel Clarke; Olivier Mahul,2011,Duplicate,Duplicate of Entry 8,,Disaster Risk Financing and Contingent Credit Duplicate of Entry 8,0.0,No Match (Below Threshold),0.0
26,,Unknown,An Information-Theoretic Framework for Credit Risk Modeling,Agus Sudjianto; Denis Burakov,2025,Credit Risk Modeling,WoE/IV/PSI unified under information theory.,,An Information-Theoretic Framework for Credit Risk Modeling WoE/IV/PSI unified under information theory.,0.0,No Match (Below Threshold),0.0
27,10.1016/j.procs.2024.09.108,Procedia Computer Science,GA-SVM credit risk assessment model,Wenqing Bao; Ke Xu; Qian Leng,2024,Credit Risk & AI,GA-SVM improves SME real estate credit assessment.,,GA-SVM credit risk assessment model GA-SVM improves SME real estate credit assessment.,0.0,No Match (Below Threshold),0.0
28,10.24149/wp2504,Federal Reserve Bank of Dallas,The Impact of Labels on Real Asset Valuations,Yuliya Demyanyk et al.,2025,Valuation Interpretation,Labels influence valuation perception.,,The Impact of Labels on Real Asset Valuations Labels influence valuation perception.,3.0,RQ-4,0.17324744333588493
29,,Likely IVSC,Standard on Automated Valuation Models (AVMs),Unknown,Unknown,AVM Governance,AVM standards emphasize transparency and validation.,,Standard on Automated Valuation Models (AVMs) AVM standards emphasize transparency and validation.,3.0,No Match (Below Threshold),0.0
30,10.1111/1540-6229.12258,Real Estate Economics,Riskiness of Real Estate Development,David Geltner et al.,2020,CRE Development Risk,Development values reflect embedded optionality.,,Riskiness of Real Estate Development Development values reflect embedded optionality.,1.0,No Match (Below Threshold),0.0
31,10.1108/JAL-10-2024-0272,Journal of Accounting Literature,Determination of urban land value,Peng Zhou et al.,2025,Land Valuation,Urban land valuation literature increasingly uses ML.,,Determination of urban land value Urban land valuation literature increasingly uses ML.,3.0,RQ-4,0.12805117900351437
32,10.1016/j.cities.2024.105115,Cities,Automated land valuation models,Peyman Jafary et al.,2024,AVM & Land Valuation,XGBoost outperformed other AVM models.,,Automated land valuation models XGBoost outperformed other AVM models.,3.0,No Match (Below Threshold),0.0
33,10.1257/jep.33.1.107,Journal of Economic Perspectives,Would macroprudential regulation have prevented the last crisis?,David Aikman et al.,2019,Macroprudential Regulation,Macroprudential tools mitigate systemic crises.,,Would macroprudential regulation have prevented the last crisis? Macroprudential tools mitigate systemic crises.,2.0,No Match (Below Threshold),0.0
34,10.1016/j.frl.2023.104677,Finance Research Letters,Mortgage lending valuation bias under housing price changes,Endre J. Reite,2023,Valuation Bias,Optimistic AVMs may understate foreclosure risk.,,Mortgage lending valuation bias under housing price changes Optimistic AVMs may understate foreclosure risk.,4.0,No Match (Below Threshold),0.0
35,10.1080/09599916.2014.963642,Journal of Property Research,Factors determining regional housing prices,Hrushikesh Mallick; Mantu Kumar Mahalik,2015,Housing Price Formation,Indian housing prices driven primarily by fundamentals.,,Factors determining regional housing prices Indian housing prices driven primarily by fundamentals.,4.0,RQ-1,0.3392157065785329
